Length of path: 4820.49197204353
-192.681053 174.522947 -> -153.130140 187.817274
-153.130140 187.817274 -> -120.386562 170.589454
-120.386562 170.589454 -> -84.626900 148.216494
-84.626900 148.216494 -> -56.914543 92.501249
-56.914543 92.501249 -> -27.911955 48.326745
-27.911955 48.326745 -> -18.316063 27.755860
-18.316063 27.755860 -> -4.434919 33.164884
-4.434919 33.164884 -> 3.152113 27.103890
3.152113 27.103890 -> 57.555364 64.417343
57.555364 64.417343 -> 54.551865 71.567133
54.551865 71.567133 -> 40.897139 78.152317
40.897139 78.152317 -> 16.573231 104.020979
16.573231 104.020979 -> 8.643660 135.907430
8.643660 135.907430 -> 54.766523 154.053847
54.766523 154.053847 -> 100.043893 161.295125
100.043893 161.295125 -> 120.375033 115.889661
120.375033 115.889661 -> 126.799911 112.727280
126.799911 112.727280 -> 148.108328 123.558283
148.108328 123.558283 -> 162.923138 117.465744
162.923138 117.465744 -> 208.592696 136.618460
208.592696 136.618460 -> 216.691000 156.314370
216.691000 156.314370 -> 217.218893 164.294928
217.218893 164.294928 -> 221.808162 186.241012
221.808162 186.241012 -> 271.301094 142.524086
271.301094 142.524086 -> 296.911892 25.811569
296.911892 25.811569 -> 276.276517 -49.448662
276.276517 -49.448662 -> 256.475967 -46.591418
256.475967 -46.591418 -> 239.616628 -21.944160
239.616628 -21.944160 -> 189.387028 -4.465225
189.387028 -4.465225 -> 158.552316 -19.254407
158.552316 -19.254407 -> 135.781192 -13.053440
135.781192 -13.053440 -> 129.024315 29.701695
129.024315 29.701695 -> 158.742184 62.618834
158.742184 62.618834 -> 169.990437 154.260412
169.990437 154.260412 -> 170.514252 161.169850
170.514252 161.169850 -> 130.854855 195.695082
130.854855 195.695082 -> 95.947213 183.278211
95.947213 183.278211 -> 34.079032 187.731112
34.079032 187.731112 -> -13.030259 174.698005
-13.030259 174.698005 -> -114.146166 190.615321
-114.146166 190.615321 -> -201.485143 155.274830
-201.485143 155.274830 -> -222.492322 169.033315
-222.492322 169.033315 -> -240.249363 179.334919
-240.249363 179.334919 -> -268.739142 143.276483
-268.739142 143.276483 -> -287.058297 113.599823
-287.058297 113.599823 -> -284.129027 107.252583
-284.129027 107.252583 -> -248.169463 80.132237
-248.169463 80.132237 -> -207.665172 81.410371
-207.665172 81.410371 -> -185.649161 90.144456
-185.649161 90.144456 -> -189.062172 104.285631
-189.062172 104.285631 -> -215.113949 120.740679
-215.113949 120.740679 -> -200.771246 147.741054
-200.771246 147.741054 -> -157.423365 126.800331
-157.423365 126.800331 -> -134.985023 132.944989
-134.985023 132.944989 -> -126.568914 106.964962
-126.568914 106.964962 -> -42.704691 37.679514
-42.704691 37.679514 -> -9.580869 -17.516639
-9.580869 -17.516639 -> -0.200936 -21.927663
-0.200936 -21.927663 -> 47.011363 -30.887180
47.011363 -30.887180 -> 55.550895 -45.089968
55.550895 -45.089968 -> 88.818853 -42.834512
88.818853 -42.834512 -> 118.989764 -80.203583
118.989764 -80.203583 -> 126.904044 -80.733297
126.904044 -80.733297 -> 172.389228 -53.133270
172.389228 -53.133270 -> 205.717887 -24.976511
205.717887 -24.976511 -> 224.599361 -34.798485
224.599361 -34.798485 -> 278.105364 -93.771765
278.105364 -93.771765 -> 275.793495 -129.415477
275.793495 -129.415477 -> 235.827007 -143.838844
235.827007 -143.838844 -> 217.599278 -189.258062
217.599278 -189.258062 -> 92.298040 -146.169487
92.298040 -146.169487 -> 59.827200 -170.713714
59.827200 -170.713714 -> -17.356579 -125.254131
-17.356579 -125.254131 -> -47.266557 -66.984045
-47.266557 -66.984045 -> -46.403062 -13.755804
-46.403062 -13.755804 -> -48.354421 9.091412
-48.354421 9.091412 -> -184.092700 5.737284
-184.092700 5.737284 -> -211.429137 27.770425
-211.429137 27.770425 -> -226.787625 2.658862
-226.787625 2.658862 -> -244.959501 -111.046573
-244.959501 -111.046573 -> -202.828627 -101.700050
-202.828627 -101.700050 -> -172.378071 -88.298187
-172.378071 -88.298187 -> -152.130365 -93.844349
-152.130365 -93.844349 -> -133.730932 -113.306155
-133.730932 -113.306155 -> 34.959132 -106.842499
34.959132 -106.842499 -> 68.910854 -82.123346
68.910854 -82.123346 -> 106.599423 -107.433987
106.599423 -107.433987 -> 141.433472 -6.023095
141.433472 -6.023095 -> 178.198360 37.031984
178.198360 37.031984 -> 55.434792 62.729160
55.434792 62.729160 -> 56.389778 71.618509
56.389778 71.618509 -> 74.887500 80.586458
74.887500 80.586458 -> 53.436521 125.683201
53.436521 125.683201 -> -147.363185 59.608175
-147.363185 59.608175 -> -171.354954 25.463068
-171.354954 25.463068 -> -217.282470 -43.316616
-217.282470 -43.316616 -> -189.135201 -139.078513
-189.135201 -139.078513 -> -155.651746 -138.151811
-155.651746 -138.151811 -> -181.208895 -192.622935
