Length of path: 3690.2484504185895
-18.507391 -22.905270 -> 14.005617 -14.015334
14.005617 -14.015334 -> 40.327635 19.216022
40.327635 19.216022 -> 58.716620 32.835930
58.716620 32.835930 -> 58.019653 49.937906
58.019653 49.937906 -> 56.716498 66.959624
56.716498 66.959624 -> 73.689751 110.224271
73.689751 110.224271 -> 85.043830 108.946389
85.043830 108.946389 -> 96.781707 141.370805
96.781707 141.370805 -> 102.223372 174.201904
102.223372 174.201904 -> 120.906436 131.798810
120.906436 131.798810 -> 132.794476 135.681392
132.794476 135.681392 -> 151.432196 121.427337
151.432196 121.427337 -> 175.677917 98.929343
175.677917 98.929343 -> 228.929427 82.624982
228.929427 82.624982 -> 231.944823 82.961057
231.944823 82.961057 -> 246.621634 101.705861
246.621634 101.705861 -> 255.134924 115.594915
255.134924 115.594915 -> 277.821597 104.262606
277.821597 104.262606 -> 289.298882 56.051342
289.298882 56.051342 -> 245.415055 44.794067
245.415055 44.794067 -> 172.836936 59.184233
172.836936 59.184233 -> 121.392544 56.694081
121.392544 56.694081 -> 102.909291 60.107868
102.909291 60.107868 -> 100.006932 76.579303
100.006932 76.579303 -> 121.661135 85.267672
121.661135 85.267672 -> 154.870684 140.327660
154.870684 140.327660 -> 138.136997 -31.348808
138.136997 -31.348808 -> 112.833346 -38.057607
112.833346 -38.057607 -> 81.740403 10.276251
81.740403 10.276251 -> 83.005905 64.646774
83.005905 64.646774 -> 64.559003 82.567627
64.559003 82.567627 -> 20.218290 88.031173
20.218290 88.031173 -> 21.067444 122.164599
21.067444 122.164599 -> 49.091876 150.678826
49.091876 150.678826 -> -55.091518 198.826966
-55.091518 198.826966 -> -89.453831 162.237392
-89.453831 162.237392 -> -100.569041 140.808607
-100.569041 140.808607 -> -102.699992 95.632069
-102.699992 95.632069 -> -139.741580 57.936680
-139.741580 57.936680 -> -175.118239 77.842636
-175.118239 77.842636 -> -194.986965 101.363745
-194.986965 101.363745 -> -167.994506 138.195365
-167.994506 138.195365 -> -97.391662 124.120512
-97.391662 124.120512 -> -4.590656 -40.067226
-4.590656 -40.067226 -> 19.765322 -99.236400
19.765322 -99.236400 -> 64.943433 -119.784474
64.943433 -119.784474 -> 92.255820 -93.514104
92.255820 -93.514104 -> 134.692592 -102.152826
134.692592 -102.152826 -> 150.526118 -88.230057
150.526118 -88.230057 -> 155.405344 -56.437901
155.405344 -56.437901 -> 155.341949 -20.252779
155.341949 -20.252779 -> 76.647124 -7.289705
76.647124 -7.289705 -> -31.745416 -69.207960
-31.745416 -69.207960 -> -51.343758 -57.654823
-51.343758 -57.654823 -> -72.565291 -24.281820
-72.565291 -24.281820 -> -90.160190 -25.200829
-90.160190 -25.200829 -> -126.569816 -30.645224
-126.569816 -30.645224 -> -144.887799 -73.495410
-144.887799 -73.495410 -> -189.988471 -98.043874
-189.988471 -98.043874 -> -191.216327 -162.689024
-191.216327 -162.689024 -> -293.833463 -165.440105
-293.833463 -165.440105 -> -288.744132 -173.349893
-288.744132 -173.349893 -> -187.485329 -177.031237
-187.485329 -177.031237 -> -154.225945 -135.522059
-154.225945 -135.522059 -> -107.196865 -77.792599
-107.196865 -77.792599 -> -19.310012 -131.810965
-19.310012 -131.810965 -> 21.176627 -165.421555
21.176627 -165.421555 -> 46.674278 -193.090008
46.674278 -193.090008 -> 143.114152 -135.866707
143.114152 -135.866707 -> 157.588994 -144.200765
157.588994 -144.200765 -> 187.669263 -122.655771
187.669263 -122.655771 -> 210.186432 -127.403563
210.186432 -127.403563 -> 216.825920 -152.024123
216.825920 -152.024123 -> 242.810288 -182.054289
242.810288 -182.054289 -> 245.020791 -167.448848
245.020791 -167.448848 -> 238.583388 -133.143524
238.583388 -133.143524 -> 221.028639 -139.435079
221.028639 -139.435079 -> 202.346980 -189.069699
202.346980 -189.069699 -> 152.102728 -193.381252
