Length of path: 3301.969036273571
-74.639411 25.542881 -> -81.384378 32.368323
-81.384378 32.368323 -> -70.183535 73.738342
-70.183535 73.738342 -> -86.457580 105.836348
-86.457580 105.836348 -> -82.173510 119.465553
-82.173510 119.465553 -> -68.446198 137.178953
-68.446198 137.178953 -> -49.447381 173.210759
-49.447381 173.210759 -> -30.991436 186.807059
-30.991436 186.807059 -> 27.706327 169.284192
27.706327 169.284192 -> 36.599805 147.885350
36.599805 147.885350 -> 47.040512 141.206562
47.040512 141.206562 -> 51.417675 146.417721
51.417675 146.417721 -> 38.654730 188.608557
38.654730 188.608557 -> -44.669924 170.088013
-44.669924 170.088013 -> -104.781549 158.212048
-104.781549 158.212048 -> -177.685937 158.265884
-177.685937 158.265884 -> -223.039999 171.558368
-223.039999 171.558368 -> -258.868593 166.669198
-258.868593 166.669198 -> -280.008136 11.657786
-280.008136 11.657786 -> -286.024059 -55.955204
-286.024059 -55.955204 -> -284.547616 -60.154961
-284.547616 -60.154961 -> -278.409792 -111.914073
-278.409792 -111.914073 -> -247.341131 -160.277639
-247.341131 -160.277639 -> -234.711279 -162.774591
-234.711279 -162.774591 -> -202.218443 -178.735864
-202.218443 -178.735864 -> -147.023475 -166.220130
-147.023475 -166.220130 -> -116.831788 -191.380552
-116.831788 -191.380552 -> -41.263039 -144.118212
-41.263039 -144.118212 -> -57.266232 -115.737582
-57.266232 -115.737582 -> -58.684205 -76.988884
-58.684205 -76.988884 -> -31.548604 -55.223912
-31.548604 -55.223912 -> -95.621797 77.468533
-95.621797 77.468533 -> -136.787038 79.501703
-136.787038 79.501703 -> -235.099412 47.810306
-235.099412 47.810306 -> -251.656688 -195.189953
-251.656688 -195.189953 -> -260.477802 -196.955535
-260.477802 -196.955535 -> -281.678990 -187.717923
-281.678990 -187.717923 -> -214.362324 -193.265190
-214.362324 -193.265190 -> 26.451074 -192.813352
26.451074 -192.813352 -> 30.366828 -167.573232
30.366828 -167.573232 -> 90.584569 -164.218416
90.584569 -164.218416 -> 142.765554 -118.682439
142.765554 -118.682439 -> 162.493244 -84.574019
162.493244 -84.574019 -> 141.513053 2.821137
141.513053 2.821137 -> 92.639946 22.216030
92.639946 22.216030 -> 45.123674 31.740242
45.123674 31.740242 -> 25.098172 35.205544
25.098172 35.205544 -> -8.936916 13.543851
-8.936916 13.543851 -> 62.366656 50.713913
62.366656 50.713913 -> 63.541591 55.140221
63.541591 55.140221 -> 106.033430 69.754891
106.033430 69.754891 -> 116.702667 132.021991
116.702667 132.021991 -> 171.595574 135.520994
171.595574 135.520994 -> 209.544977 94.267052
209.544977 94.267052 -> 244.228552 119.192512
244.228552 119.192512 -> 267.845908 127.627482
267.845908 127.627482 -> 239.639550 79.491132
239.639550 79.491132 -> 253.534863 38.014987
253.534863 38.014987 -> 283.989938 -101.866465
283.989938 -101.866465 -> 263.236651 -144.293091
