Length of path: 1412.475197894462
-82.864121 -104.173600 -> -98.760442 -81.770618
-98.760442 -81.770618 -> -137.317503 -20.146939
-137.317503 -20.146939 -> -191.716829 -28.360492
-191.716829 -28.360492 -> -221.149792 -32.862538
-221.149792 -32.862538 -> -239.848226 8.671399
-239.848226 8.671399 -> -239.414022 40.427118
-239.414022 40.427118 -> -240.369194 57.426131
-240.369194 57.426131 -> -219.148505 103.685337
-219.148505 103.685337 -> -154.088455 115.022553
-154.088455 115.022553 -> -119.026308 168.453598
-119.026308 168.453598 -> -107.988514 185.173669
-107.988514 185.173669 -> 20.212169 156.013261
20.212169 156.013261 -> 33.379688 100.161238
33.379688 100.161238 -> 101.498782 33.484198
101.498782 33.484198 -> 139.446709 0.233238
139.446709 0.233238 -> 153.130159 -20.360910
153.130159 -20.360910 -> 144.832862 -43.476284
144.832862 -43.476284 -> 94.789917 -67.087689
94.789917 -67.087689 -> 42.137753 -60.319863
42.137753 -60.319863 -> 28.913721 58.699880
28.913721 58.699880 -> 51.008140 5.769601
51.008140 5.769601 -> -16.723130 -12.689542
-16.723130 -12.689542 -> -20.971208 -5.637107
-20.971208 -5.637107 -> -129.104485 -155.041640
